"","Row","Col","Sample","Plate"
"4264","G","5","D1664","D1626-D1721"
"4265","H","5","D1665","D1626-D1721"
"4266","A","6","D1666","D1626-D1721"
"4267","B","6","D1667","D1626-D1721"
"4268","C","6","D1668","D1626-D1721"
"4269","D","6","D1669","D1626-D1721"
"4270","E","6","D1670","D1626-D1721"
"4271","F","6","D1671","D1626-D1721"
"4272","G","6","D1672","D1626-D1721"
"4273","H","6","D1673","D1626-D1721"
"4274","A","7","D1674","D1626-D1721"
"4275","B","7","D1675","D1626-D1721"
"4276","C","7","D1676","D1626-D1721"
"4277","D","7","D1677","D1626-D1721"
"4278","E","7","D1678","D1626-D1721"
"4279","F","7","D1679","D1626-D1721"
"4280","G","7","D1680","D1626-D1721"
"4281","H","7","D1681","D1626-D1721"
"4282","A","8","D1682","D1626-D1721"
"4283","B","8","D1683","D1626-D1721"
"4284","C","8","D1684","D1626-D1721"
"4285","D","8","D1685","D1626-D1721"
"4286","E","8","D1686","D1626-D1721"
"4287","F","8","D1687","D1626-D1721"
"4288","G","8","D1688","D1626-D1721"
"4289","H","8","D1689","D1626-D1721"
"4290","A","9","D1690","D1626-D1721"
"4291","B","9","D1691","D1626-D1721"
"4292","C","9","D1692","D1626-D1721"
"4293","D","9","D1693","D1626-D1721"
"4294","E","9","D1694","D1626-D1721"
"4295","F","9","D1695","D1626-D1721"
"4296","G","9","D1696","D1626-D1721"
"4297","H","9","D1697","D1626-D1721"
"4298","A","10","D1698","D1626-D1721"
"4299","B","10","D1699","D1626-D1721"
"4300","C","10","D1700","D1626-D1721"
"4301","D","10","D1701","D1626-D1721"
"4302","E","10","D1702","D1626-D1721"
"4303","F","10","D1703","D1626-D1721"
"4304","G","10","D1704","D1626-D1721"
"4305","H","10","D1705","D1626-D1721"
"4306","A","11","D1706","D1626-D1721"
"4307","B","11","D1707","D1626-D1721"
"4308","C","11","D1708","D1626-D1721"
"4309","D","11","D1709","D1626-D1721"
"4310","E","11","D1710","D1626-D1721"
"4311","F","11","D1711","D1626-D1721"
"4312","G","11","D1712","D1626-D1721"
"4313","H","11","D1713","D1626-D1721"
"4314","A","12","D1714","D1626-D1721"
"4315","B","12","D1715","D1626-D1721"
"4316","C","12","D1716","D1626-D1721"
"4317","D","12","D1717","D1626-D1721"
"4318","E","12","D1718","D1626-D1721"
"4319","F","12","D1719","D1626-D1721"
"4320","G","12","D1720","D1626-D1721"
"4321","H","12","D1721","D1626-D1721"
"4322","A","1","D1722","D1722-D1784"
"4323","B","1","D1723","D1722-D1784"
"4324","C","1","D1724","D1722-D1784"
"4325","D","1","D1725","D1722-D1784"
"4326","E","1","D1726","D1722-D1784"
"4327","F","1","D1727","D1722-D1784"
"4328","G","1","D1728","D1722-D1784"
"4329","H","1","D1729","D1722-D1784"
"4330","A","2","D1730","D1722-D1784"
"4331","B","2","D1731","D1722-D1784"
"4332","C","2","D1732","D1722-D1784"
"4333","D","2","D1733","D1722-D1784"
"4334","E","2","D1734","D1722-D1784"
"4335","F","2","D1735","D1722-D1784"
"4336","G","2","D1736","D1722-D1784"
"4337","H","2","D1737","D1722-D1784"
"4338","A","3","D1738","D1722-D1784"
"4339","B","3","D1739","D1722-D1784"
"4340","C","3","D1740","D1722-D1784"
"4341","D","3","D1741","D1722-D1784"
"4342","E","3","D1742","D1722-D1784"
"4343","F","3","D1743","D1722-D1784"
"4344","G","3","D1744","D1722-D1784"
"4345","H","3","D1745","D1722-D1784"
"4346","A","4","D1746","D1722-D1784"
"4347","B","4","D1747","D1722-D1784"
"4348","C","4","D1748","D1722-D1784"
"4349","D","4","D1749","D1722-D1784"
"4350","E","4","D1750","D1722-D1784"
"4351","F","4","D1751","D1722-D1784"
"4352","G","4","D1752","D1722-D1784"
"4353","H","4","D1753","D1722-D1784"
"4354","A","5","D1754","D1722-D1784"
"4355","B","5","D1755","D1722-D1784"
"4356","C","5","D1756","D1722-D1784"
"4357","D","5","D1757","D1722-D1784"
"4358","E","5","D1758","D1722-D1784"
"4359","F","5","D1759","D1722-D1784"
"4360","G","5","D1760","D1722-D1784"
"4361","H","5","D1761","D1722-D1784"
"4362","A","6","D1762","D1722-D1784"
"4363","B","6","D1763","D1722-D1784"
"4364","C","6","D1764","D1722-D1784"
"4365","D","6","D1765","D1722-D1784"
"4366","E","6","D1766","D1722-D1784"
"4367","F","6","D1767","D1722-D1784"
"4368","G","6","D1768","D1722-D1784"
"4369","H","6","D1769","D1722-D1784"
"4370","A","7","D1770","D1722-D1784"
