"digest_id","extraction_id","date","vol_in","ng_in","enzymes","final_vol","quant","DNA_ng","well","plate","notes","correction","corr_message","corr_editor","corr_date"
"D2813","E2455","2016-03-05",30,4893,"PstI_MluCI",40,120.37,4.815,"F1","D2808-D2903","","","","","0000-00-00"
"D2814","E2456","2016-03-05",30,1199,"PstI_MluCI",40,13.364,0.535,"G1","D2808-D2903","","","","","0000-00-00"
"D2815","E2457","2016-03-05",30,297,"PstI_MluCI",40,3.56,0.142,"H1","D2808-D2903","","","","","0000-00-00"
"D2816","E2458","2016-03-05",30,2423,"PstI_MluCI",40,35.865,1.435,"A2","D2808-D2903","","","","","0000-00-00"
"D2817","E2459","2016-03-05",15,2890,"PstI_MluCI",40,66.91,2.676,"B2","D2808-D2903","","","","","0000-00-00"
"D2818","E2460","2016-03-05",30,4153,"PstI_MluCI",40,46.598,1.864,"C2","D2808-D2903","","","","","0000-00-00"
"D2819","E2461","2016-03-05",30,4330,"PstI_MluCI",40,49.92,1.997,"D2","D2808-D2903","","","","","0000-00-00"
"D2820","E2462","2016-03-05",30,2155,"PstI_MluCI",40,20.149,0.806,"E2","D2808-D2903","","","","","0000-00-00"
"D2821","E2463","2016-03-05",30,927,"PstI_MluCI",40,3.842,0.154,"F2","D2808-D2903","","","","","0000-00-00"
"D2822","E2464","2016-03-05",30,959,"PstI_MluCI",40,7.403,0.296,"G2","D2808-D2903","","","","","0000-00-00"
"D2823","E2465","2016-03-05",30,1203,"PstI_MluCI",40,15.005,0.6,"H2","D2808-D2903","","","","","0000-00-00"
"D2824","E2353","2016-03-05",30,642,"PstI_MluCI",40,16.275,0.651,"A3","D2808-D2903","","","","","0000-00-00"
"D2825","E2467","2016-03-05",30,4831,"PstI_MluCI",40,87.396,3.496,"B3","D2808-D2903","","","","","0000-00-00"
"D2826","E2468","2016-03-05",30,1680,"PstI_MluCI",40,29.717,1.189,"C3","D2808-D2903","","","","","0000-00-00"
"D2827","XXXX","2016-03-05",30,0,"PstI_MluCI",40,-1.714,-0.069,"D3","D2808-D2903","","","","","0000-00-00"
"D2828","E2470","2016-03-05",30,3185,"PstI_MluCI",40,49.202,1.968,"E3","D2808-D2903","","","","","0000-00-00"
"D2829","E2471","2016-03-05",30,1536,"PstI_MluCI",40,17.233,0.689,"F3","D2808-D2903","","","","","0000-00-00"
"D2830","E2472","2016-03-05",30,1607,"PstI_MluCI",40,12.55,0.502,"G3","D2808-D2903","","","","","0000-00-00"
"D2831","E2473","2016-03-05",30,1989,"PstI_MluCI",40,30.797,1.232,"H3","D2808-D2903","","","","","0000-00-00"
"D2832","E2474","2016-03-05",30,1284,"PstI_MluCI",40,23.038,0.922,"A4","D2808-D2903","","","","","0000-00-00"
"D2833","E2475","2016-03-05",30,365,"PstI_MluCI",40,4.785,0.191,"B4","D2808-D2903","","","","","0000-00-00"
"D2834","E2476","2016-03-05",30,1815,"PstI_MluCI",40,19.074,0.763,"C4","D2808-D2903","","","","","0000-00-00"
"D2835","E2477","2016-03-05",30,3745,"PstI_MluCI",40,50.655,2.026,"D4","D2808-D2903","","","","","0000-00-00"
"D2836","E2478","2016-03-05",30,4396,"PstI_MluCI",40,57.466,2.299,"E4","D2808-D2903","","","","","0000-00-00"
"D2837","E2479","2016-03-05",30,2158,"PstI_MluCI",40,14.818,0.593,"F4","D2808-D2903","","","","","0000-00-00"
